HHSTFIPS,STFIPSnum,State,HBHUR,Urbanicity,TRPTRANS,Mode,TRPMILES_AVG,TRVL_MIN_AVG
01,1,AL,C,Second City,01,Car,8.34437751,18.54518072
01,1,AL,C,Second City,02,Van,4.839793282,11.69767442
01,1,AL,C,Second City,03,SUV,5.923480084,12.78301887
01,1,AL,C,Second City,04,Pickup Truck,10.56267806,19.02564103
01,1,AL,C,Second City,05,Other Truck,1,4.5
01,1,AL,C,Second City,09,Local Public Bus,10,150
01,1,AL,C,Second City,11,School Bus,3.2,28.4
01,1,AL,C,Second City,22,Bicycle,0.347222222,13.5
01,1,AL,C,Second City,23,Walk,0.775362319,10.86956522
01,1,AL,S,Suburban,01,Car,10.72689076,18.66386555
01,1,AL,S,Suburban,02,Van,6.273015873,14.28571429
01,1,AL,S,Suburban,03,SUV,7.062330623,17.24390244
01,1,AL,S,Suburban,04,Pickup Truck,8.608465608,20.38095238
01,1,AL,S,Suburban,05,Other Truck,4,17.5
01,1,AL,S,Suburban,22,Bicycle,0.644444444,10
01,1,AL,S,Suburban,23,Walk,0.693333333,13.6
01,1,AL,TC,Town & Country,-7,Refused,6,8.666666667
01,1,AL,TC,Town & Country,01,Car,10.37089497,18.71293673
01,1,AL,TC,Town & Country,02,Van,10.11567732,18.30136986
01,1,AL,TC,Town & Country,03,SUV,11.50353669,20.01856764
01,1,AL,TC,Town & Country,04,Pickup Truck,10.38816739,19.49350649
01,1,AL,TC,Town & Country,05,Other Truck,42.16666667,58.41666667
01,1,AL,TC,Town & Country,07,Motorcycle,7.733333333,22.6
01,1,AL,TC,Town & Country,11,School Bus,9.514285714,42.45714286
01,1,AL,TC,Town & Country,14,Shuttle Bus,4,30
01,1,AL,TC,Town & Country,21,Airplane,1000,180
01,1,AL,TC,Town & Country,23,Walk,0.719601677,14.93396226
01,1,AL,TC,Town & Country,97,Other,25.09090909,32.72727273
02,2,AK,C,Second City,-8,Don't Know,15,22.5
